1,Virat Kohili,05-11-1998,Batsman,Delhi
2,Rohit Sharma,30-04-1987,Batsman,Nagpur
3,Shikar Dhawan,05-12-1985,Batsman,Delhi
4,Surykumar Yadav,14-09-1990,Batsman,Mumbai
5,K L Rahul,18-04-1992,Batsman,Manglore
6,Ishan Kishan,18-07-1998,Kepper,Patna
7,Shubham Gill,08-09-1999,Batsman,Firozapur
8,Hardik Pandya ,11-10-1993,All-Rounder,Vaodara
9,Ravindra Jadeja,06-12-1988,All-Rounder,Jamnagar
10,Krunal Pandya,24-03-1991,All-Rounder,Vaodara
11,Ravichadran Ashwin,17-09-1986,All-Rounder,Chennai
12,Bhavaneshwar Kumar,05-02-1990,Bowler,Merrut
13,Mohamad Shami,03-09-1990,Bowler,Amroha
14,Mohamad Siraj,13-03-1994,Bowler,Hyderabad
15,Yuzivendra Chahal,23-07-1990,Bowler,Jind
16,Axar Patel,20-01-1994,Bowler,Anand
17,Rishibh Pant,04-10-1997,Kepper,Roorkee
18,Ajankya Rahane,06-06-1998,Batsman,Sagamner
